vendedor,referencia_vendedor,fabricante,ref_fabricante,unidad_embalaje,descripcion,precio_unitario,fechaCompra,cantidad,total
"AMIDATA S.A,",,,,,"ref. 600-723 Flexo de 3 brazos articulados,60W",132.94,2011-11-23,1,132.94
"AMIDATA S.A,",,,,,ref. 715-8210 R63 90 LED lamp ES E27 4.5W 110-240V DL,20.2,2011-11-23,1,20.2
"AMIDATA S.A,",,,,,"ref. 692-542 Sellante de goma con silicona,tubo 90ml",8.71,2011-11-21,2,17.42
"AMIDATA S.A,",,,,,"ref. 362-9856 Sensor PT100 std pelA­cula fina,2x2.3mm",7.04,2011-11-21,2,14.08
"AMIDATA S.A,",,,,,ref. 666-7362 Thin Film Pt100 Detect 1.6x1.2mm Class A,5.93,2011-11-21,26,154.18
"FARNELL COMPONENTS, SL,",,,,,"REF. 1793611 PHOENIX CONTACT - PC 4/2-STF-7.62 - MACHO, PESTAA‘A, TORNILLO, 7.62mm, 2VAAS",2.37,2011-11-16,5,11.850000000000001
"AMIDATA S.A,",,,,,ref. 290-2677 Bloque terminales pasantes p/panel 4mm,2.16,2011-11-16,10,21.6
"AMIDATA S.A,",,,,,"ref. 700-1697 8mm flush satin chrome LED, green 220Vac",6.31,2011-11-16,1,6.31
"DIOTRONIC, S.A.,",,,,,ref. S100F/5 F.A.CONMUTADA 5V 20A 100W,42.17,2011-11-16,1,42.17
"ALCO, SUBMINISTRES PER A LABORATORI, S.A.,",,,,,"ref. 700920 Impuesto Etanol 96% v/v (USP, BP, Ph. Eur.) PRS-CODEX por litro",7.97,2011-11-15,5,39.85
"ALCO, SUBMINISTRES PER A LABORATORI, S.A.,",,,,,"ref. 141085.1212 Etanol 96% v/v (USP, BP, Ph. Eur.) PRS-CODEX, 2.5L",29.3,2011-11-15,2,58.6
"VWR INTERNATIONAL EUROLAB, S.L.,",,,,,"ref. 216-0061 cristalizador Vidrio borosilicato, calidad 3.3, sin pico",5.1,2011-11-14,10,51.0
"FARNELL COMPONENTS, SL,",,,,,ref. 1551270 SWANN-MORTON - 9322 - SWANN MORTON ACM2 BLADES PK5 F.HANDLE 5,4.0,2011-11-11,1,4.0
"FARNELL COMPONENTS, SL,",,,,,ref. 1551272 SWANN-MORTON - 9308 - SWANN MORTON ACM22 BLADES PK5 F.HANDLE 5,2.17,2011-11-11,5,10.85
"FARNELL COMPONENTS, SL,",,,,,ref. 1551265 SWANN-MORTON - 9303 - SWANN MORTON ACM11 BLADES PK5 F.HANDLE 1,3.15,2011-11-11,5,15.75
"FERRETERIA MARANGES, S.A.,",,,,,AGUA OXIGENADA 30% 5LTS PARA ATAQUE QUIMICO DE PLACA DE CIRCUITO IMPRESO,10.0,2011-11-11,1,10.0
"FERRETERIA MARANGES, S.A.,",,,,,SALFUMAN ESTABILIZADO 5LTS PARA ATAQUE QUIMICO DE PLACA DE CIRCUITO IMPRESO,4.0,2011-11-11,1,4.0
"AMIDATA S.A,",,,,,ref. 328-5872 Guantes de nitrilo azul medios,19.16,2011-11-10,2,38.32
"AMIDATA S.A,",,,,,"ref. 323-9863 Guantes de lA¡tex sin polvo,tamaA±o 9-10.5",11.64,2011-11-10,6,69.84
"AMIDATA S.A,",,,,,"REF. 688-2233 DIODE, SCHOTTKY, 5A, 100V, DO-201AD",0.37,2011-11-07,20,7.4
"AMIDATA S.A,",,,,,"REF. 222-036 Caja de Al gris 2 tonos,305x178x65mm",25.7,2011-11-07,1,25.7
"AMIDATA S.A,",,,,,REF. 541-4016 6.35MM MTG LED IND 5V GRN,1.5,2011-11-07,5,7.5
"ONDA RADIO, S.A.,",,,,,ref. PREMO FUENTE DE ALIMENTACIA“N CONMUTADA CON SALIDA AsNICA 100W,25.8,2011-11-07,1,25.8
"FERRETERIA MARANGES, S.A.,",,,,,REF. HOJA SIERRA MARQUETERIA MADERA NAº8,0.18,2011-11-04,10,1.799999999999999
"FERRETERIA MARANGES, S.A.,",,,,,ref. A16 arco marqueteria buto corto,6.1,2011-11-04,1,6.1
"FERRETERIA MARANGES, S.A.,",,,,,REF 12 . protector auditivo climax,13.38,2011-11-04,1,13.38
"ONDA RADIO, S.A.,",,,,,REF. JS2200U35 COND ELECTR RAD 105AºC 35V 2200UF,0.63,2011-11-04,10,6.3
"ONDA RADIO, S.A.,",,,,,REF. JS1000U35 COND ELECTR RAD 105AºC 35V 1000UF,0.30000000000000004,2011-11-04,10,3.0
"ONDA RADIO, S.A.,",,,,,REF. JS1000U50 COND ELECTR RAD 105AºC 50V 1000UF,0.5,2011-11-04,10,5.0
"ONDA RADIO, S.A.,",,,,,REF. JS2200U16 COND ELECTR RAD 105AºC 16V 2200UF,0.30000000000000004,2011-11-04,10,3.0
"ONDA RADIO, S.A.,",,,,,REF. JS1000U16 COND ELECTR RAD 105AºC 16V 1000UF,0.16,2011-11-04,10,1.6
"ONDA RADIO, S.A.,",,,,,REF. JS2200U25 COND ELECTR RAD 105AºC 25V 2200UF,0.47000000000000003,2011-11-04,10,4.699999999999999
"ONDA RADIO, S.A.,",,,,,REF. JS1000U25 COND ELECTR RAD 105AºC 25V 1000UF,0.23,2011-11-04,10,2.3
"ONDA RADIO, S.A.,",,,,,REF. JS2200U50 COND ELECTR RAD 105AºC 50V 2200UF,1.15,2011-11-04,5,5.75
"ONDA RADIO, S.A.,",,,,,REF. JS3300U25 COND ELECTR RAD 105AºC 25V 3300UF,0.78,2011-11-04,10,7.800000000000001
"ONDA RADIO, S.A.,",,,,,REF. JS4700U25 COND ELECTR RAD 105AºC 25V 4700UF,0.98,2011-11-04,10,9.8
"ONDA RADIO, S.A.,",,,,,REF. JS4700U16 COND ELECTR RAD 105AºC 16V 4700UF,0.59,2011-11-04,10,5.899999999999999
"ONDA RADIO, S.A.,",,,,,REF. JS4700U35 COND ELECTR RAD 105AºC 35V 4700UF,1.17,2011-11-04,5,5.85
"FISCAL SOLUTION S.A.R.L. (MOUSER ELECTRONICS),",,,,,ref. 590-4170-500ML NEGATIVE DEVELOPER 16OZ LIQUID,8.21,2011-11-04,2,16.42
"AMIDATA S.A,",,,,,ref. 514-7794 Gafas Comfort transparente puente nasal,7.71,2011-10-27,2,15.42
"AMIDATA S.A,",,,,,ref. 300-6584 Regla flexible de acero inoxidable 300,5.59,2011-10-27,3,16.77
"AMIDATA S.A,",,,,,ref. 300-6578 Regla flexible de acero inoxidable 200,3.51,2011-10-27,3,10.53
"FARNELL COMPONENTS, SL,",,,,,"ref. 1495575 HAMAMATSU - S5973 - FOTODIODO, 760 nm,, 1GHZ",18.37,2011-10-24,2,36.74
"FARNELL COMPONENTS, SL,",,,,,"ref. 1495573 HAMAMATSU - S5972 - FOTODIODO, 800NM, 500MHZ",8.12,2011-10-24,2,16.24
"AMIDATA S.A,",,,,,"ref. 850-962 Adhesivo epoxA­dico + metal,jeringa 25ml",9.33,2011-10-21,1,9.33
"FARNELL COMPONENTS, SL,",,,,,"ref. 318036 ARALDITE - ARALDITE RAPID - ADHESIVE, ARALDITE, EPOXY",9.0,2011-10-21,2,18.0
"CASA MASFARNE, S.A.,",,,,,"1Kg cable de litz con caracteristicas: 127 hilos, hilo 0.10 (HSG1), clase H, soldable, grado 1, recubierto 1 capa poliester.",42.7,2011-10-19,5,213.5
"ONDA RADIO, S.A.,",,,,,ref. CC9325T CABLE MAT EXT 3MM SECC.0'25MM 15KV TEJA,0.36,2011-10-18,100,36.0
"FARNELL COMPONENTS, SL,",,,,,"ref. 1199118 ALPHA WIRE - 5854/7 BK005 - CABLE, UL1213, 24AWG, NEGRO, 30,5M",18.87,2011-10-18,1,18.87
"FARNELL COMPONENTS, SL,",,,,,"ref. 1199119 ALPHA WIRE - 5854/7 RD005 - CABLE, UL1213, 24AWG, RED 30.5M",18.87,2011-10-18,1,18.87
"FARNELL COMPONENTS, SL,",,,,,"ref. 1008565 PRO POWER - 15080 - TERMORRETRACTIL, 2:1, 3.2MM, AZUL, 5M",1.24,2011-10-18,1,1.24
"FARNELL COMPONENTS, SL,",,,,,"ref. 1894656 CREE - CMF10120D - MOSFET, SIC, N CH, 1200V, 24A, TO247",67.33,2011-10-17,4,269.32
"SIGMA-ALDRICH QUIMICA, S.A.,",,,,,Terpineol ref. 86480-250ML,33.0,2011-10-14,1,33.0
"ARISTA SISTEMAS GRAFICOS, S.L.,",,,,,ref. ZEC-A1005-3 Pack de 3 cuchillas para cortar vinilo,74.0,2011-10-14,1,74.0
"ARISTA SISTEMAS GRAFICOS, S.L.,",,,,,ref. XD-CH2 Porta cuchillas de aluminio,117.0,2011-10-14,1,117.0
"ARISTA SISTEMAS GRAFICOS, S.L.,",,,,,re. ZEC-A1715-3 Pack de 3 cuchillas para cortar sandblast,79.0,2011-10-14,1,79.0
"FARNELL COMPONENTS, SL,",,,,,REF. 1826419 DURATOOL - PBU2138/5 - 5 X 2MM GLASS FIBRE REFILLS,8.57,2011-10-13,1,8.57
"FARNELL COMPONENTS, SL,",,,,,REF. 1826418 DURATOOL - BU2137 - GLASS FIBRE PENCIL - 2MM,13.61,2011-10-13,1,13.61
"FARNELL COMPONENTS, SL,",,,,,"REF. 1421555 DURATOOL - BU1019/210 - RELLENADO, FIBRA DE VIDRIO, PAQUETE 10 UDS",12.05,2011-10-13,2,24.1
"ONDA RADIO, S.A.,",,,,,REF. SP94210 SEPARADOR CON ROSCA Y CLIP PARA C.I 10 MM,0.1,2011-10-07,25,2.5
"ONDA RADIO, S.A.,",,,,,REF. SP94412 SEPARADOR C/CLIP Y ADHESIVO PARA C.I 12'7MM,0.17,2011-10-07,15,2.55
"ONDA RADIO, S.A.,",,,,,REF. SP94208 EPARADOR CON ROSCA Y CLIP PARA C.I 8'0MM,0.08,2011-10-07,25,2.0
"ONDA RADIO, S.A.,",,,,,REF. SP94206 SEPARADOR CON ROSCA Y CLIP PARA C.I 6'4MM,0.08,2011-10-07,25,2.0
"ONDA RADIO, S.A.,",,,,,REF. SP94410 SEPARADOR C/CLIP Y ADHESIVO PARA C.I 9'50MM,0.16,2011-10-07,20,3.2
"ONDA RADIO, S.A.,",,,,,ref. SP94406 SEPARADOR C/CLIP Y ADHESIVO PARA C.I 6'40MM,0.14,2011-10-07,25,3.5
"ONDA RADIO, S.A.,",,,,,"ref. TE9321E FASTON HEMBRA 2,8X0,5 ESTAA‘ADO EstaA±ado",0.01,2011-10-07,75,0.75
"ONDA RADIO, S.A.,",,,,,"ref. TE9923C FASTON MACHO 2,8MM ANGULO 90Aº",0.07,2011-10-07,100,7.000000000000001
"ONDA RADIO, S.A.,",,,,,"ref. TE9321 FASTON HEMBRA 2,8X0,5 LATON PULIDO",0.01,2011-10-07,80,0.8
"ONDA RADIO, S.A.,",,,,,ref. cc8810 CONEX COAXIAL 2BNC MACHO RG58,3.62,2011-10-05,2,7.24
"AMIDATA S.A,",,,,,"ref. 409-6954 NiPt BNC plug-plug RG58 cable,50ohm 1.0m",10.1,2011-10-05,2,20.2
"FARNELL COMPONENTS, SL,",,,,,"ref. 1056124 TE CONNECTIVITY / GREENPAR - 1337771-4 - CABLE, RG58 BNC MACHO-MACHO, 1M",14.37,2011-10-05,2,28.74
"ONDA RADIO, S.A.,",,,,,REF. BN-78R BANANA HEMBRA ROJA,0.84,2011-10-04,15,12.6
"ONDA RADIO, S.A.,",,,,,REF. BN-78N BANANA HEMBRA NEGRA,0.84,2011-10-04,15,12.6
"ONDA RADIO, S.A.,",,,,,REF.CO9008 CONECTOR BNC HEMBRA PANEL REDONDO,0.9,2011-10-04,10,9.0
"ONDA RADIO, S.A.,",,,,,REF. CO9004 CONECTOR BNC HEMBRA PANEL GREENPAR RG174,3.26,2011-10-04,5,16.299999999999997
"ONDA RADIO, S.A.,",,,,,REF. CO9002 CONECTOR BNC HEMBRA PANEL CRIMPAR RG58,2.79,2011-10-04,5,13.95
"ONDA RADIO, S.A.,",,,,,REF. BN60R BANANA BARRILETE 4MM RESORTE NIQ C/TOMA LATERAL ROJA,0.86,2011-10-04,25,21.5
"ONDA RADIO, S.A.,",,,,,REF. BN60N BANANA BARRILETE 4MM RESORTE NIQ C/TOMA LATERAL NEGRA,0.86,2011-10-04,25,21.5
"FARNELL COMPONENTS, SL,",,,,,"ref. 4149671 MULTICOMP - MC00066 - MACHO BANANA, 4MM, CONECTOR, ROJO",1.96,2011-10-04,2,3.92
"FARNELL COMPONENTS, SL,",,,,,"ref. 4861784 MH CONNECTORS - DCMR09 - CARCASA, ULTRA BAJO, 9 VAAS, ETHERNET",6.16,2011-10-04,3,18.48
"FARNELL COMPONENTS, SL,",,,,,"ref. 1075321 ITW MCMURDO - DE9S - HEMBRA, D, 9 VAAS",8.01,2011-10-04,3,24.03
"FARNELL COMPONENTS, SL,",,,,,"REF. 8598223 LABFACILITY - Z2-K-1 X 5 - SENSOR, T/PAR, K, Z2, PAQUETE 5 UDS",31.16,2011-10-03,1,31.16
"FARNELL COMPONENTS, SL,",,,,,"REF. 1633495 LABFACILITY - WK-200X50 - CABLE, TA‰RMICO, K, PTFE, 1/0.2, 50M",66.15,2011-10-03,1,66.15
"FARNELL COMPONENTS, SL,",,,,,"REF. 8598240 LABFACILITY - ZO-PFA-K-1 X 5 - SENSOR, T/PAR, K, Fino, ZO, PAQUETE 5 UDS",43.89,2011-10-03,1,43.89
"FARNELL COMPONENTS, SL,",,,,,"ref. 1462044 HOJA PAPEL LIJA, ALAsMINA, 230X280X100G",0.54,2011-10-03,2,1.08
"FARNELL COMPONENTS, SL,",,,,,"ref. 1327444 AMPHENOL - RSMA1111A1-3GT50G-1A-50 - MACHO, SMA, POLARIDAD INVERSA, RG223",3.92,2011-10-03,2,7.84
"FARNELL COMPONENTS, SL,",,,,,"ref.1462049 NORTON - SHS SST 230X280 A275 P360 B - HOJA PAPEL LIJA, ALAsMINA, 230X280X400G",1.04,2011-10-03,2,2.08
"FARNELL COMPONENTS, SL,",,,,,"ref. 9165711 DELTRON - 461-0040E - BOX, DIECAST, P/C, BLACK D",10.9,2011-09-30,1,10.9
"FARNELL COMPONENTS, SL,",,,,,"ref. 525625 DELTRON - 459-0040 - BOX, DIECAST",10.25,2011-09-30,2,20.5
"FARNELL COMPONENTS, SL,",,,,,"ref. 254370 VERMASON - J 63 30 - MACHO, PUNTO DE TOMA A TIERRA",18.81,2011-09-29,2,37.62
"FERRETERIA MARANGES, S.A.,",,,,,re. 3071berbiqui marqueteria wuto,4.28,2011-09-29,1,4.28
"FERRETERIA MARANGES, S.A.,",,,,,ref. PFEJE18 Papel lija impermeable 180,0.6000000000000001,2011-09-29,3,1.799999999999999
"FERRETERIA MARANGES, S.A.,",,,,,ref. PFEJE24 Papel lija impermeable 240,0.6000000000000001,2011-09-29,3,1.799999999999999
"FERRETERIA MARANGES, S.A.,",,,,,ref. PFEJE40 Papel lija impermeable 400,0.6000000000000001,2011-09-29,5,3.0
"FERRETERIA MARANGES, S.A.,",,,,,ref. PFEJE32 Papel lija impermeable 320,0.6000000000000001,2011-09-29,5,3.0
"FARNELL COMPONENTS, SL,",,,,,"ref. 1496327 DURATOOL - D00630 - PELACABLES, 160MM",16.8,2011-09-29,1,16.8
"FARNELL COMPONENTS, SL,",,,,,"ref. 1496327 DURATOOL - D00630 - PELACABLES, 160MM",16.8,2011-09-29,1,16.8
"ONDA RADIO, S.A.,",,,,,ref. PC53A PINZA DE COCODRILO AISLADA 31MM,0.16,2011-09-28,10,1.6
"FARNELL COMPONENTS, SL,",,,,,"ref. 1697979 PRO POWER - HSB10050GY - HEATSHRINK, 9.5MM, GREEN/YELLOW, 10M",10.65,2011-09-28,1,10.65
"FARNELL COMPONENTS, SL,",,,,,"ref. 1697986 PRO POWER - HSB13060GY - HEATSHRINK, 12.7MM, GREEN/YELLOW, 8M",10.65,2011-09-28,1,10.65
"FARNELL COMPONENTS, SL,",,,,,"ref. 1083068 TE CONNECTIVITY / NEOHM - YR1B20RCC - RESISTENCIA, 0,1% 20R",0.68,2011-09-28,5,3.4
"FARNELL COMPONENTS, SL,",,,,,"ref. 9465936 VISHAY BC COMPONENTS - MRS25000C2009FCT00 - RESISTOR, MRS25 1% 20R",0.06,2011-09-28,50,3.0
"FARNELL COMPONENTS, SL,",,,,,"ref. 9621962 RHOPOINT - 8G16D 20R 0.1 - RESISTOR, 0.33W 0.1% 20R",8.78,2011-09-28,1,8.78
